ID,name,club,club_logo,flag,photo,nationality,eur_value,eur_wage,overall,potential,special,age
20801,Cristiano Ronaldo,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/38@3x.png,https://cdn.sofifa.org/18/players/20801.png,Portugal,95500000.0,565000.0,94,94,2228,32
158023,L. Messi,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/158023.png,Argentina,105000000.0,565000.0,93,93,2158,30
190871,Neymar,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/190871.png,Brazil,123000000.0,280000.0,92,94,2100,25
176580,L. Suárez,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/60@3x.png,https://cdn.sofifa.org/18/players/176580.png,Uruguay,97000000.0,510000.0,92,92,2291,30
167495,M. Neuer,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/167495.png,Germany,61000000.0,230000.0,92,92,1493,31
188545,R. Lewandowski,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/37@3x.png,https://cdn.sofifa.org/18/players/188545.png,Poland,92000000.0,355000.0,91,91,2146,28
193080,De Gea,Manchester United,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/193080.png,Spain,64500000.0,215000.0,90,92,1458,26
183277,E. Hazard,Chelsea,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/183277.png,Belgium,90500000.0,295000.0,90,91,2096,26
182521,T. Kroos,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/182521.png,Germany,79000000.0,340000.0,90,90,2165,27
167664,G. Higuaín,Juventus,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/167664.png,Argentina,77000000.0,275000.0,90,90,1961,29
155862,Sergio Ramos,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/155862.png,Spain,52000000.0,310000.0,90,90,2153,31
192985,K. De Bruyne,Manchester City,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/192985.png,Belgium,83000000.0,285000.0,89,92,2162,26
192119,T. Courtois,Chelsea,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/192119.png,Belgium,59000000.0,190000.0,89,92,1282,25
184941,A. Sánchez,Arsenal,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/184941.png,Chile,67500000.0,265000.0,89,89,2181,28
177003,L. Modrić,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/10@3x.png,https://cdn.sofifa.org/18/players/177003.png,Croatia,57000000.0,340000.0,89,89,2228,31
173731,G. Bale,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/50@3x.png,https://cdn.sofifa.org/18/players/173731.png,Wales,69500000.0,370000.0,89,89,2259,27
153079,S. Agüero,Manchester City,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/153079.png,Argentina,66500000.0,325000.0,89,89,2074,29
138956,G. Chiellini,Juventus,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/138956.png,Italy,38000000.0,225000.0,89,89,1867,32
1179,G. Buffon,Juventus,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/1179.png,Italy,4500000.0,110000.0,89,89,1335,39
211110,P. Dybala,Juventus,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/52@3x.png,https://cdn.sofifa.org/18/players/211110.png,Argentina,79000000.0,215000.0,88,93,2063,23
200389,J. Oblak,Atlético Madrid,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/44@3x.png,https://cdn.sofifa.org/18/players/200389.png,Slovenia,57000000.0,82000.0,88,93,1290,24
194765,A. Griezmann,Atlético Madrid,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/194765.png,France,75000000.0,150000.0,88,91,2104,26
189509,Thiago,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/189509.png,Spain,70500000.0,225000.0,88,90,2185,26
188567,P. Aubameyang,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png,https://cdn.sofifa.org/flags/115@3x.png,https://cdn.sofifa.org/18/players/188567.png,Gabon,61000000.0,165000.0,88,88,2073,28
184344,L. Bonucci,Milan,https://cdn.sofifa.org/18/teams/47.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/184344.png,Italy,44000000.0,210000.0,88,88,1995,30
183907,J. Boateng,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/183907.png,Germany,48000000.0,215000.0,88,88,1989,28
182493,D. Godín,Atlético Madrid,https://cdn.sofifa.org/18/teams/240.png,https://cdn.sofifa.org/flags/60@3x.png,https://cdn.sofifa.org/18/players/182493.png,Uruguay,40000000.0,125000.0,88,88,1937,31
178603,M. Hummels,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/178603.png,Germany,48000000.0,215000.0,88,88,2038,28
176635,M. Özil,Arsenal,https://cdn.sofifa.org/18/teams/1.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/176635.png,Germany,60000000.0,265000.0,88,88,1927,28
167948,H. Lloris,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/167948.png,France,38000000.0,165000.0,88,88,1318,30
164240,Thiago Silva,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/164240.png,Brazil,34000000.0,175000.0,88,88,2124,32
41236,Z. Ibrahimović,Manchester United,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/46@3x.png,https://cdn.sofifa.org/18/players/41236.png,Sweden,27000000.0,240000.0,88,88,2075,35
9014,A. Robben,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/34@3x.png,https://cdn.sofifa.org/18/players/9014.png,Netherlands,36000000.0,225000.0,88,88,2081,33
215914,N. Kanté,Chelsea,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/215914.png,France,52500000.0,190000.0,87,90,2154,26
199556,M. Verratti,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/27@3x.png,https://cdn.sofifa.org/18/players/199556.png,Italy,64500000.0,130000.0,87,91,2154,24
195864,P. Pogba,Manchester United,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/18@3x.png,https://cdn.sofifa.org/18/players/195864.png,France,66500000.0,195000.0,87,92,2238,24
190460,C. Eriksen,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/13@3x.png,https://cdn.sofifa.org/18/players/190460.png,Denmark,65000000.0,165000.0,87,91,2064,25
181872,A. Vidal,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/55@3x.png,https://cdn.sofifa.org/18/players/181872.png,Chile,37500000.0,160000.0,87,87,2278,30
179813,E. Cavani,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png,https://cdn.sofifa.org/flags/60@3x.png,https://cdn.sofifa.org/18/players/179813.png,Uruguay,48500000.0,160000.0,87,87,2096,30
176676,Marcelo,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/176676.png,Brazil,38000000.0,250000.0,87,87,2214,29
171877,M. Hamšík,Napoli,https://cdn.sofifa.org/18/teams/48.png,https://cdn.sofifa.org/flags/43@3x.png,https://cdn.sofifa.org/18/players/171877.png,Slovakia,48500000.0,130000.0,87,87,2184,29
168651,I. Rakitić,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/10@3x.png,https://cdn.sofifa.org/18/players/168651.png,Croatia,48500000.0,275000.0,87,87,2129,29
168542,David Silva,Manchester City,https://cdn.sofifa.org/18/teams/10.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/168542.png,Spain,44000000.0,220000.0,87,87,1977,31
162835,S. Handanovič,Inter,https://cdn.sofifa.org/18/teams/44.png,https://cdn.sofifa.org/flags/44@3x.png,https://cdn.sofifa.org/18/players/162835.png,Slovenia,29000000.0,91000.0,87,87,1264,32
152729,Piqué,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/152729.png,Spain,37500000.0,240000.0,87,87,1974,30
41,Iniesta,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/41.png,Spain,29500000.0,260000.0,87,87,2073,33
202126,H. Kane,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/14@3x.png,https://cdn.sofifa.org/18/players/202126.png,England,59000000.0,165000.0,86,90,2062,23
198710,J. Rodríguez,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/56@3x.png,https://cdn.sofifa.org/18/players/198710.png,Colombia,56000000.0,250000.0,86,89,2118,25
197781,Isco,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/197781.png,Spain,56500000.0,250000.0,86,90,2105,25
197445,D. Alaba,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/4@3x.png,https://cdn.sofifa.org/18/players/197445.png,Austria,44500000.0,150000.0,86,88,2278,25
192505,R. Lukaku,Manchester United,https://cdn.sofifa.org/18/teams/11.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/192505.png,Belgium,59000000.0,210000.0,86,90,1998,24
191043,Alex Sandro,Juventus,https://cdn.sofifa.org/18/teams/45.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/191043.png,Brazil,44000000.0,175000.0,86,88,2207,26
189596,T. Müller,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/189596.png,Germany,47500000.0,190000.0,86,86,2078,27
189511,Sergio Busquets,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png,https://cdn.sofifa.org/flags/45@3x.png,https://cdn.sofifa.org/18/players/189511.png,Spain,36000000.0,250000.0,86,86,1998,28
189242,Coutinho,Liverpool,https://cdn.sofifa.org/18/teams/9.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/189242.png,Brazil,56000000.0,205000.0,86,89,2049,25
188350,M. Reus,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png,https://cdn.sofifa.org/flags/21@3x.png,https://cdn.sofifa.org/18/players/188350.png,Germany,45000000.0,120000.0,86,86,2157,28
184087,T. Alderweireld,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png,https://cdn.sofifa.org/flags/7@3x.png,https://cdn.sofifa.org/18/players/184087.png,Belgium,40500000.0,165000.0,86,87,2047,28
179944,David Luiz,Chelsea,https://cdn.sofifa.org/18/teams/5.png,https://cdn.sofifa.org/flags/54@3x.png,https://cdn.sofifa.org/18/players/179944.png,Brazil,33000000.0,190000.0,86,86,2123,30
